movie_id,movie_name,genre,year,box_office,box_office_source,value_origin,amount_match_project2
tt0183649,Phone Booth,"Crime,Thriller",2002,46566212,project_2_override,derived_from_db,True
tt0184791,O,"Drama,Romance,Thriller",2001,16025437,project_2_override,derived_from_db,True
tt0184858,Reindeer Games,"Action,Crime,Thriller",2000,23368995,project_2_override,derived_from_db,True
tt0185371,House on Haunted Hill,"Horror,Mystery,Thriller",1999,40846082,project_2_override,derived_from_db,True
tt0185431,Little Nicky,"Comedy,Fantasy",2000,39464775,project_2_override,derived_from_db,True
tt0187078,Gone in 60 Seconds,"Action,Crime,Thriller",2000,101648571,project_2_override,derived_from_db,True
tt0187738,Blade II,"Action,Horror,Sci-Fi",2002,82348319,project_2_override,derived_from_db,True
tt0188453,Birthday Girl,"Comedy,Crime,Thriller",2001,5142576,project_2_override,derived_from_db,True
tt0190138,The Whole Nine Yards,"Comedy,Crime",2000,57262492,project_2_override,derived_from_db,True
tt0190374,Dungeons & Dragons,"Action,Adventure,Fantasy",2000,15391970,project_2_override,derived_from_db,True
tt0190865,Vertical Limit,"Action,Adventure,Drama",2000,69243859,project_2_override,derived_from_db,True
tt0191133,The Fighting Temptations,"Comedy,Drama,Music",2003,30250745,project_2_override,derived_from_db,True
tt0191397,The Replacements,"Comedy,Sport",2000,44737059,project_2_override,derived_from_db,True
tt0191754,28 Days,"Comedy,Drama",2000,37170488,project_2_override,derived_from_db,True
tt0195685,Erin Brockovich,"Biography,Drama",2000,125595205,project_2_override,derived_from_db,True
tt0195714,Final Destination,"Horror,Thriller",2000,53331147,project_2_override,derived_from_db,True
tt0196216,Small Time Crooks,"Comedy,Crime",2000,17266359,project_2_override,derived_from_db,True
tt0196229,Zoolander,Comedy,2001,45172250,project_2_override,derived_from_db,True
tt0196857,Play It to the Bone,"Comedy,Drama,Sport",1999,8434146,project_2_override,derived_from_db,True
tt0199626,In the Cut,"Mystery,Thriller",2003,4750602,project_2_override,derived_from_db,True
tt0200550,Coyote Ugly,"Comedy,Drama,Music",2000,60786269,project_2_override,derived_from_db,True
tt0202470,Rock Star,"Drama,Music",2001,17008282,project_2_override,derived_from_db,True
tt0203230,You Can Count on Me,Drama,2000,9416804,project_2_override,derived_from_db,True
tt0204946,Bring It On,"Comedy,Romance,Sport",2000,68379000,project_2_override,derived_from_db,True
tt0205000,Deuce Bigalow: Male Gigolo,"Comedy,Romance",1999,65538755,project_2_override,derived_from_db,True
tt0205271,Dr. T & the Women,"Comedy,Drama,Romance",2000,13113041,project_2_override,derived_from_db,True
tt0206275,Save the Last Dance,"Drama,Music,Romance",2001,91057006,project_2_override,derived_from_db,True
tt0206314,Joy Ride,"Mystery,Thriller",2001,21974919,project_2_override,derived_from_db,True
tt0206963,My First Mister,"Comedy,Drama,Romance",2001,568762,project_2_override,derived_from_db,True
tt0207201,What Women Want,"Comedy,Fantasy,Romance",2000,182811707,project_2_override,derived_from_db,True
tt0209475,The Wedding Planner,"Comedy,Romance",2001,60400856,project_2_override,derived_from_db,True
tt0209958,The Cell,"Crime,Horror,Sci-Fi",2000,61334059,project_2_override,derived_from_db,True
tt0210234,Pokémon the Movie 2000,"Action,Adventure,Animation",1999,43758684,project_2_override,derived_from_db,True
tt0210299,Songcatcher,"Drama,Music",2000,3059834,project_2_override,derived_from_db,True
tt0211181,102 Dalmatians,"Adventure,Comedy,Family",2000,66957026,project_2_override,derived_from_db,True
tt0212338,Meet the Parents,"Comedy,Romance",2000,166244045,project_2_override,derived_from_db,True
tt0212346,Miss Congeniality,"Action,Comedy,Crime",2000,106807667,project_2_override,derived_from_db,True
tt0212985,Hannibal,"Crime,Drama,Thriller",2001,165092268,project_2_override,derived_from_db,True
tt0213149,Pearl Harbor,"Action,Drama,Romance",2001,198542554,project_2_override,derived_from_db,True
tt0213203,Rugrats in Paris,"Adventure,Animation,Comedy",2000,76507756,project_2_override,derived_from_db,True
tt0213790,The Ladies Man,Comedy,2000,13616610,project_2_override,derived_from_db,True
tt0213847,Malena,"Drama,Romance,War",2000,3448233,project_2_override,derived_from_db,True
tt0215750,Enemy at the Gates,"Action,Drama,War",2001,51401758,project_2_override,derived_from_db,True
tt0216216,The 6th Day,"Action,Mystery,Sci-Fi",2000,34604280,project_2_override,derived_from_db,True
tt0217505,Gangs of New York,"Crime,Drama",2002,77812000,project_2_override,derived_from_db,True
tt0217869,Unbreakable,"Drama,Mystery,Sci-Fi",2000,95011339,project_2_override,derived_from_db,True
tt0218619,Soul Survivors,"Horror,Mystery,Thriller",2001,3111545,project_2_override,derived_from_db,True
tt0218967,The Family Man,"Comedy,Drama,Fantasy",2000,75793305,project_2_override,derived_from_db,True
tt0219653,Dracula 2000,"Action,Fantasy,Horror",2000,33022767,project_2_override,derived_from_db,True
tt0219699,The Gift,"Drama,Fantasy,Horror",2000,12008642,project_2_override,derived_from_db,True
tt0219952,Lucky Numbers,"Comedy,Crime",2000,10042516,project_2_override,derived_from_db,True
tt0219965,Bandits,"Action,Comedy,Crime",2001,41575141,project_2_override,derived_from_db,True
tt0220506,Halloween: Resurrection,"Horror,Thriller",2002,30354442,project_2_override,derived_from_db,True
tt0221027,Blow,"Biography,Crime,Drama",2001,52990775,project_2_override,derived_from_db,True
tt0221799,An American Rhapsody,Drama,2001,850255,project_2_override,derived_from_db,True
tt0223897,Pay It Forward,Drama,2000,33519628,project_2_override,derived_from_db,True
tt0224578,The Vertical Ray of the Sun,"Drama,Romance",2000,110134,project_2_override,derived_from_db,True
tt0225071,Angel Eyes,"Drama,Romance",2001,24174218,project_2_override,derived_from_db,True
