"movie_id","movie_name","genre","year"
"tt0296572","The Chronicles of Riddick","Action,Adventure,Sci-Fi","2004"
"tt0297037","Brown Sugar","Comedy,Drama,Music","2002"
"tt0297181","I Spy","Action,Adventure,Comedy","2002"
"tt0297884","Far from Heaven","Drama,Romance","2002"
"tt0298130","The Ring","Horror,Mystery","2002"
"tt0298203","8 Mile","Drama,Music","2002"
"tt0298228","Whale Rider","Drama,Family","2002"
"tt0298814","The Core","Action,Adventure,Sci-Fi","2003"
"tt0299117","Roger Dodger","Comedy,Drama","2002"
"tt0299172","Home on the Range","Adventure,Animation,Comedy","2004"
"tt0299658","Chicago","Comedy,Crime,Musical","2002"
"tt0299977","Hero","Action,Adventure,Drama","2002"
"tt0300015","I Capture the Castle","Drama,Romance","2003"
"tt0300051","Jersey Girl","Comedy,Drama,Romance","2004"
"tt0300214","Morvern Callar","Drama","2002"
"tt0300471","Shanghai Knights","Action,Adventure,Comedy","2003"
"tt0300532","Blue Crush","Drama,Romance,Sport","2002"
"tt0300556","Timeline","Action,Adventure,Sci-Fi","2003"
"tt0301199","Dirty Pretty Things","Crime,Drama,Thriller","2002"
"tt0301357","Good Bye Lenin!","Comedy,Drama,Romance","2003"
"tt0301470","Jeepers Creepers 2","Horror","2003"
"tt0302640","The Hot Chick","Comedy,Fantasy","2002"
"tt0302886","Old School","Comedy","2003"
"tt0303356","Biggie and Tupac","Biography,Crime,Documentary","2002"
"tt0303714","Barbershop","Comedy,Drama","2002"
"tt0303933","Drumline","Comedy,Drama,Music","2002"
"tt0304415","Mona Lisa Smile","Drama","2003"
"tt0304669","The Santa Clause 2","Comedy,Family,Fantasy","2002"
"tt0305206","American Splendor","Biography,Comedy,Drama","2003"
"tt0305224","Anger Management","Comedy","2003"
"tt0305357","Charlie's Angels: Full Throttle","Action,Adventure,Comedy","2003"
"tt0305669","Bringing Down the House","Comedy","2003"
"tt0305711","Just Married","Comedy,Romance","2003"
"tt0306047","Scary Movie 3","Comedy","2003"
"tt0306685","Cradle 2 the Grave","Action,Crime,Drama","2003"
"tt0306841","The Lizzie McGuire Movie","Adventure,Comedy,Family","2003"
"tt0307453","Shark Tale","Adventure,Animation,Comedy","2004"
"tt0308353","Happily N'Ever After","Adventure,Animation,Comedy","2006"
"tt0308383","The Human Stain","Drama,Romance,Thriller","2003"
"tt0308506","Like Mike","Comedy,Family,Fantasy","2002"
"tt0308508","Step Into Liquid","Documentary,Sport","2003"
"tt0308514","Lost in La Mancha","Documentary","2002"
"tt0308644","Finding Neverland","Biography,Drama,Family","2004"
"tt0309530","Down with Love","Comedy,Romance","2003"
"tt0309593","Final Destination 2","Horror,Thriller","2003"
"tt0309912","Nicholas Nickleby","Adventure,Drama,Romance","2002"
"tt0309987","The Dreamers","Drama,Romance","2003"
"tt0310281","A Mighty Wind","Comedy,Music","2003"
"tt0311113","Master and Commander: The Far Side of the World","Action,Adventure,Drama","2003"
"tt0311289","Holes","Adventure,Comedy,Drama","2003"
"tt0311429","The League of Extraordinary Gentlemen","Action,Adventure,Fantasy","2003"
"tt0311519","The Man Without a Past","Comedy,Drama,Romance","2002"
"tt0312329","Against the Ropes","Biography,Drama,Romance","2004"
"tt0312528","The Cat in the Hat","Adventure,Comedy,Family","2003"
"tt0313792","Anything Else","Comedy,Romance","2003"
"tt0313911","Agent Cody Banks","Action,Adventure,Comedy","2003"
"tt0314166","Hey Arnold! The Movie","Adventure,Animation,Comedy","2002"
"tt0314353","Tears of the Sun","Action,Drama,Thriller","2003"
"tt0314498","The Perfect Score","Comedy,Crime,Drama","2004"
"tt0314676","The Singing Detective","Comedy,Crime,Musical","2003"
"tt0314725","Standing in the Shadows of Motown","Documentary,Music","2002"
"tt0315297","Twisted","Crime,Drama,Mystery","2004"
"tt0315327","Bruce Almighty","Comedy,Fantasy","2003"
"tt0315983","House of Sand and Fog","Crime,Drama","2003"
"tt0316188","Raising Victor Vargas","Drama,Romance","2002"
"tt0316356","Open Range","Action,Drama,Romance","2003"
"tt0316396","Peter Pan","Adventure,Family,Fantasy","2003"
"tt0316654","Spider-Man 2","Action,Adventure,Sci-Fi","2004"
"tt0317132","Because of Winn-Dixie","Comedy,Drama,Family","2005"
"tt0317198","Bridget Jones: The Edge of Reason","Comedy,Drama,Romance","2004"
"tt0317303","Daddy Day Care","Comedy,Family","2003"
"tt0317648","Hidalgo","Action,Adventure,Biography","2004"
"tt0317740","The Italian Job","Action,Crime,Thriller","2003"
"tt0317910","The Fog of War: Eleven Lessons from the Life of Robert S. McNamara","Biography,Documentary,History","2003"
"tt0317919","Mission: Impossible III","Action,Adventure,Thriller","2006"
"tt0318081","A Sound of Thunder","Action,Adventure,Horror","2005"
"tt0318374","The Cooler","Drama,Romance","2003"
"tt0318627","Resident Evil: Apocalypse","Action,Horror,Sci-Fi","2004"
"tt0318649","Sahara","Action,Adventure,Comedy","2005"
"tt0319262","The Day After Tomorrow","Action,Adventure,Sci-Fi","2004"
"tt0319524","How to Deal","Comedy,Drama,Romance","2003"
"tt0319769","Mondays in the Sun","Comedy,Drama","2002"
"tt0320244","Party Monster","Biography,Crime,Drama","2003"
"tt0320691","Underworld","Action,Fantasy,Thriller","2003"
"tt0322802","Jackass: The Movie","Action,Comedy,Documentary","2002"
"tt0323033","Laws of Attraction","Comedy,Romance","2004"
"tt0323642","Piglet's Big Movie","Adventure,Animation,Comedy","2003"
"tt0324127","Suspect Zero","Crime,Horror,Mystery","2004"
"tt0324133","Swimming Pool","Crime,Drama,Mystery","2003"
"tt0325055","Sylvia","Biography,Drama,Romance","2003"
"tt0325258","Dickie Roberts: Former Child Star","Comedy","2003"
"tt0325537","Head of State","Comedy","2003"
"tt0325703","Lara Croft Tomb Raider: The Cradle of Life","Action,Adventure,Fantasy","2003"
"tt0325710","The Last Samurai","Action,Drama","2003"
"tt0325805","Matchstick Men","Comedy,Crime,Drama","2003"
"tt0326306","The Trials of Henry Kissinger","Documentary","2002"
"tt0326769","Biker Boyz","Action,Drama","2003"
"tt0326856","Envy","Comedy","2004"
"tt0327056","Mystic River","Crime,Drama,Mystery","2003"
"tt0327084","Over the Hedge","Adventure,Animation,Comedy","2006"
"tt0327247","The Whole Ten Yards","Comedy,Crime,Thriller","2004"
"tt0327554","Catwoman","Action,Crime,Fantasy","2004"
"tt0327679","Ella Enchanted","Comedy,Family,Fantasy","2004"
"tt0328107","Man on Fire","Action,Crime,Drama","2004"
"tt0328538","Thirteen","Drama","2003"
"tt0328589","Under the Tuscan Sun","Comedy,Drama,Romance","2003"
"tt0328880","Brother Bear","Adventure,Animation,Comedy","2003"
"tt0329575","Seabiscuit","Drama,History,Sport","2003"
"tt0329774","xXx: State of the Union","Action,Adventure,Crime","2005"
"tt0330793","The Punisher","Action,Crime,Drama","2004"
"tt0331468","Cold Creek Manor","Drama,Mystery,Thriller","2003"
"tt0331953","Club Dread","Comedy,Horror,Mystery","2004"
