imdb_id,title,release_year,country,box_office,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20,Factor_21,Factor_22,Factor_23,Factor_24,Factor_25,Factor_26,Factor_27,Factor_28,Factor_29,runtime,genres,imdb_rating,imdb_votes,original_language,production_budget,numbers_flag,api_movie_name,api_genre,api_year,api_box_office,api_box_office_source,api_value_origin,api_amount_match_project2,production_budget_source,budget_available,revenue_available,money_success_ratio,money_success_score
tt5029608,Frantz,2016,Domestic,880883,2.5725971387486704,0.2586122078804954,0.53139015,-0.512682978,0.1863614605387679,1.4727325402977434,1.1261160202560752,0.9441932318878652,6.184417925,0.1790064549110731,0.0124902,4.143810076024474,1.1971161630941531,-1.195210205,-1.011516966,0.3876135356150106,-1.017803346,-0.20910151,2.319321792741218,0.6227245146199317,1.6994043756538568,-1.2400919,-1.44012007,1.6789210167165156,-0.236444293,-0.057033046,1.8933165097880071,-0.555943764,-2.748821721,2.478084866234729,113,"Drama,History,Romance",7.5,18636,fr,,0,Frantz,"Drama,History,Romance",2016,880883,project_2_override,derived_from_db,True,missing_from_source,False,True,,
tt5033998,Charlie's Angels,2019,Domestic,17803077,1.5547081570691683,1.0693959455479127,-1.724584306,-0.739619138,-0.000756266,0.8261145839722973,0.620497051,0.7601826190107528,1.4596796178732474,1.0703126132747376,1.4281134228967942,2.748602787031413,-0.675674382,-0.251154234,-0.319765741,-0.46912371,-1.093648783,0.019000467,0.5852684379612527,0.4511058087060663,2.384331869777032,-0.767570791,-3.036002824,1.483153205000284,-0.626825553,-1.139308722,0.7475223569422256,-0.680961402,-1.015676648,1.1201871969479946,118,"Action,Adventure,Comedy",5.0,84638,en,48000000.0,0,Charlie's Angels,"Action,Adventure,Comedy",2019,17803077,project_2_override,derived_from_db,True,project_2_data,True,True,0.3708974375,-30196923.0
tt5034838,Godzilla vs. Kong,2021,Domestic,100916094,2.5725971387486704,0.2586122078804954,0.53139015,-0.512682978,0.1863614605387679,1.4727325402977434,1.1261160202560752,0.9441932318878652,6.184417925,0.1790064549110731,0.0124902,4.143810076024474,1.1971161630941531,-1.195210205,-1.011516966,0.3876135356150106,-1.017803346,-0.20910151,2.319321792741218,0.6227245146199317,1.6994043756538568,-1.2400919,-1.44012007,1.6789210167165156,-0.236444293,-0.057033046,1.8933165097880071,-0.555943764,-2.748821721,2.478084866234729,113,"Action,Sci-Fi,Thriller",6.3,265138,en,200000000.0,0,Godzilla vs. Kong,"Action,Sci-Fi,Thriller",2021,100916094,project_2_override,derived_from_db,True,project_2_data,True,True,0.50458047,-99083906.0
tt5052474,Sicario: Day of the Soldado,2018,Domestic,50072235,1.295424968777092,-0.239872687,1.5528794211067556,-0.924383223,1.1724955569790694,0.2228565665931827,-0.135015243,-1.540311511,-0.102366022,1.2287813028835886,0.2055986183610166,3.259170046354069,-1.399706578,0.4943336572460235,1.0974693425413864,-0.570979513,-0.706396909,-0.415157568,-0.285415137,1.2225543527643892,-1.021748343,0.932725158,-2.514703597,0.6734333408489889,1.1205786273725686,0.2812907935076447,0.3007455298943171,-0.09590752,2.2977158758469645,0.023119222,122,"Action,Crime,Drama",7.1,189329,en,35000000.0,0,Sicario: Day of the Soldado,"Action,Crime,Drama",2018,50072235,project_2_override,derived_from_db,True,project_2_data,True,True,1.4306352857142857,15072235.0
tt5071886,Kabali,2016,Domestic,3903095,0.646640165,-0.564011427,0.9859510252148762,-0.005873277,0.049929088,-0.576900565,-0.152887024,1.000475419689991,-0.33277577,0.1525362945457811,0.1636276480267517,2.731802037609654,-0.221251715,0.023413354,0.4420359653353186,1.417451148282247,1.359044020036799,0.137959887,-0.651162392,0.5222632847522977,-1.171858188,-0.346844682,-0.885964065,-0.763117443,2.452885782156187,0.2914637789082157,-0.627167042,-0.063077963,1.4023872526765335,-0.207044271,153,"Action,Crime,Drama",6.1,15379,ta,18700000.0,0,Kabali,"Action,Crime,Drama",2016,3903095,project_2_override,derived_from_db,True,project_2_data,True,True,0.2087216577540107,-14796905.0
tt5073642,Color Out of Space,2019,Domestic,765561,0.049815255,-0.42188592,0.7777890960370744,0.3229921169747485,0.8830171686749497,0.1647568484528416,-0.578243464,-0.157126079,3.460887374754966,-0.676208514,0.2272709084675903,-0.271242695,0.048062533,-0.546416325,-0.637166307,1.5082465066612334,-0.00700944,0.05843924,-0.55563589,-0.153612638,-0.873092851,4.916203779733011,0.9897457796767016,0.9453158474314992,-0.526674594,0.095966084,-0.039301966,0.5759530371956648,-0.174664616,-0.03608423,111,"Horror,Mystery,Sci-Fi",6.1,64189,en,6000000.0,0,Color Out of Space,"Horror,Mystery,Sci-Fi",2019,765561,project_2_override,derived_from_db,True,project_2_data,True,True,0.1275935,-5234439.0
tt5074352,Dangal,2016,Domestic,12391761,-0.471635333,0.9456363735312718,-0.937657823,-0.999112637,0.4927392420506287,-0.317620341,0.857613404,1.802758647289912,-0.033253698,0.2792836518235547,1.3512966548461611,1.3842808955983412,-0.58945341,1.7002030798277463,1.194809204819419,3.226705268304339,2.843625946254378,-0.993397057,1.7743893992641246,0.3197161116084648,2.0100492415923084,0.1814612568184326,-0.775669848,-0.037426769,0.4455651307380947,1.4030024042486868,1.6658002209118172,0.4806288757989533,0.4527638352012492,8.011370831397713,161,"Action,Biography,Drama",8.3,240212,hi,10400000.0,0,Dangal,"Action,Biography,Drama",2016,12391761,project_2_override,derived_from_db,True,project_2_data,True,True,1.1915154807692308,1991761.0
tt5078852,Lansky,2021,Domestic,61030,2.5725971387486704,0.2586122078804954,0.53139015,-0.512682978,0.1863614605387679,1.4727325402977434,1.1261160202560752,0.9441932318878652,6.184417925,0.1790064549110731,0.0124902,4.143810076024474,1.1971161630941531,-1.195210205,-1.011516966,0.3876135356150106,-1.017803346,-0.20910151,2.319321792741218,0.6227245146199317,1.6994043756538568,-1.2400919,-1.44012007,1.6789210167165156,-0.236444293,-0.057033046,1.8933165097880071,-0.555943764,-2.748821721,2.478084866234729,119,"Biography,Crime,Drama",6.2,11207,en,5000000.0,0,Lansky,"Biography,Crime,Drama",2021,61030,project_2_override,derived_from_db,True,project_2_data,True,True,0.012206,-4938970.0
tt5089534,Freak Show,2017,Domestic,19696,2.5725971387486704,0.2586122078804954,0.53139015,-0.512682978,0.1863614605387679,1.4727325402977434,1.1261160202560752,0.9441932318878652,6.184417925,0.1790064549110731,0.0124902,4.143810076024474,1.1971161630941531,-1.195210205,-1.011516966,0.3876135356150106,-1.017803346,-0.20910151,2.319321792741218,0.6227245146199317,1.6994043756538568,-1.2400919,-1.44012007,1.6789210167165156,-0.236444293,-0.057033046,1.8933165097880071,-0.555943764,-2.748821721,2.478084866234729,91,"Comedy,Drama",6.5,4750,en,,0,Freak Show,"Comedy,Drama",2017,19696,project_2_override,derived_from_db,True,missing_from_source,False,True,,
tt5092380,A Breath Away,2018,Domestic,77987,0.2915722269841325,-0.774947361,0.2186668836530639,-0.386685055,-0.702135902,-0.540461307,-0.822889166,2.549864479158232,3.697536183074352,1.5558956675129956,-0.083176059,-0.178889431,-0.111671292,-1.0890249,-0.490770624,3.1466249395563173,-0.608844914,-0.015455818,-1.423981061,-0.346397003,-1.081252456,1.5916434332549805,-0.003724507,1.981339738080689,-0.977954741,-2.448501658,-0.467389162,0.5057876036901188,-0.791545183,-1.595008369,89,"Action,Drama,Mystery",5.9,8311,fr,13749400.0,0,A Breath Away,"Action,Drama,Mystery",2018,77987,project_2_override,derived_from_db,True,project_2_data,True,True,0.0056720293249159,-13671413.0
tt5093026,Papillon,2017,Domestic,2335896,-0.559310587,-0.514161684,0.91472701,-0.451356633,-0.88724683,-0.167016814,-1.07157843,3.590295463581962,-0.212170425,0.9390874283354514,-0.41632485,1.3094608448365377,-0.203533788,0.4826899911285386,0.868083546,-1.677116177,-0.998768118,0.9078459634324456,-0.290489466,1.1120638474577158,-0.840918999,0.2988551725977747,-0.059761597,0.6736819244555673,-0.179193933,-1.22481179,-1.042395936,-0.437299854,0.384010291,-1.105651392,133,"Adventure,Biography,Crime",7.2,95034,en,,0,Papillon,"Adventure,Biography,Crime",2017,2335896,project_2_override,derived_from_db,True,missing_from_source,False,True,,
tt5095030,Ant-Man and the Wasp,2018,Domestic,216648740,0.4839247228933641,1.5556069934950725,-0.93949643,-0.562497679,-0.483026034,1.982216054420804,1.1395301969830385,0.7681584795748144,4.749144231889752,-0.096601511,0.050533952,2.584101472107414,1.3152410460587116,-1.613973064,-0.67373547,3.408357789573321,-0.827198282,-0.315039174,1.039152258828734,-1.073420251,1.1017999111118664,-1.046062262,-1.051880445,1.400245371575766,-0.280985582,-1.231024808,0.6532647770456791,-0.798562041,-1.589667302,1.1105546059249964,118,"Action,Adventure,Comedy",7.0,490914,en,140000000.0,0,Ant-Man and the Wasp,"Action,Adventure,Comedy",2018,216648740,project_2_override,derived_from_db,True,project_2_data,True,True,1.547491,76648740.0
tt5096536,Heal the Living,2016,Domestic,3176,-0.647175011,-0.566098882,1.412509137017656,-0.477051851,0.1985171110379583,-0.413483805,-0.078707113,0.7577738537956908,0.1895179124207479,0.987779536,0.5165818871062735,-1.078817462,-0.352691025,-0.394581118,1.2177874529783983,2.5462742115718804,0.3321281168639591,-1.155350026,-0.099140636,-0.622799473,-0.669386137,-0.25382247,-0.073834239,1.6985545987901216,-1.063929114,-0.188698035,-0.119197685,1.7346552396371493,-0.637318419,-0.408486401,103,Drama,6.8,3726,fr,10000000.0,0,Heal the Living,Drama,2016,3176,project_2_override,derived_from_db,True,project_2_data,True,True,0.0003176,-9996824.0
